book_title|x|y
The Ship Who Sang (Brainship #1)|140167|248298
Collide (The Secret Life of Trystan Scott #1)|398280|262798
Flip This Zombie (Living With the Dead #2)|179697|243326
Tinsel (Lark Cove #4)|385622|242782
Finding Nouf (Nayir Sharqi & Katya Hijazi #1)|281234|202894
The Overton Window (Overton Window #1)|270013|259071
All We Knew (The Cabots #2)|335364|215518
The Guy on the Left (The Underdogs #2)|376988|238352
The Death of Joan of Arc (The Secrets of the Immortal Nicholas Flamel #4.5)|241701|330687
50 Harbor Street (Cedar Cove #5)|303635|241289
The Unearthly (The Unearthly #1)|305724|312256
Witch Week (Chrestomanci #3)|220875|323459
The Demon Crown (Sigma Force #13)|267001|153308
Skippyjon Jones in the Doghouse (Skippyjon Jones #2)|227595|295544
Simply Love (Simply Quartet #2)|398627|314960
Succubus on Top (Georgina Kincaid #2)|341309|319039
Devil in the Dollhouse (Sandman Slim #3.5)|148988|233794
Hunters of the Dusk (The Saga of Darren Shan #7)|241966|342032
Knotted (Trails of Sin #1)|364485|246371
The Ghost Fields (Ruth Galloway #7)|303348|172322
Plague of the Dead (Morningstar Strain #1)|181364|245364
Angel: After the Fall, Volume 1 (Angel: After the Fall #1)|180973|285579
Anna and the French Kiss (Anna and the French Kiss #1)|277824|321876
SpecOps (Expeditionary Force #2)|144055|224595
Co-Wrecker (Binghamton #1)|370678|240051
Devi's Distraction (Icehome #6)|351799|281548
Rushing the Goal (Nashville Assassins #11)|379095|254532
Moonlight and Vines (Newford #6)|154919|262407
Dark Secrets 1 (Dark Secrets #1-2)|292170|333609
Doctor Who: The Stone Rose (Doctor Who: New Series Adventures  #7)|223989|363845
Origin (Robert Langdon #5)|273319|162628
Academy of Six (Origins of the Six #1)|326383|291165
Blade Song (Colbana Files #1)|338076|308087
A Plague Upon Your Family (Zombie Fallout #2)|169907|235611
Trickster's Queen (Daughter of the Lioness #2)|231778|331116
Five Go to Mystery Moor (The Famous Five #13)|223680|265687
Aftershocks (The Palladium Wars #1)|145169|223463
Forged by Fire (Hazelwood High #2)|242405|304024
Tiny Little Thing (Schuyler Sisters #2)|284520|214801
Nancy's Mysterious Letter (Nancy Drew Mystery Stories #8)|216036|300113
Coup d'Etat (Dewey Andreas #2)|268397|158913
Mercy Watson to the Rescue (Mercy Watson #1)|233432|298643
Harlem Shuffle (Ray Carney #1)|252927|218215
Tortall and Other Lands: A Collection of Tales (Tortall)|225428|328123
Blades of Magic (Crown Service #1)|323107|295696
Evil at Heart (Archie Sheridan & Gretchen Lowell #3)|289368|179976
Prophecy (The Dragon King Chronicles #1)|286916|330422
She-Hulk, Volume 1: Law and Disorder (She-Hulk by Soule & Pulido)|181473|288965
Rage (Courtney publication order #6)|250786|161667
Bad Moon Rising (Dark-Hunter #17)|355464|307095
The Last Illusion (Molly Murphy #9)|308036|165308
Fruits Basket, Vol. 17 (Fruits Basket #17)|226294|367690
Nobody's Fool (Sully #1)|247440|213426
Night Watch (Discworld #29)|158780|245478
Midnight Man (Midnight #1)|381797|294189
Kissed by a Cowboy (Hometown Sweethearts #1)|349943|239625
Mrs. Pollifax and the Second Thief (Mrs. Pollifax #10)|311095|155159
The Dastard (Xanth #24)|135442|248902
